,comment,author,posted_date,num_likes
52,손흥민의 골의 원동력 = 속도 + 퍼스트 터치 + 강한 슈팅력 + 감차,MrShin0807,1 month ago (edited),1
53,손케듀오는 진짜 영혼의 단짝!!!!!!!!!!!,아프리카노,1 month ago,2
54,A매치골 분데스리가 골 챔스골 컵대회골 빼고 오직 PL리그골로만 1시간10분짜리 영상을 만들어내는 손흥민은 월드클라스,오승환,3 weeks ago (edited),1
55,스킵 한번 안하고 1시간동안 다봤는데 이런 선수가 한국에 있다는게 너무 자랑스럽다 한골한골이 예술이네,name,1 month ago,171
56,1호골때의 웅장함..앳된모습..벌써..8년 전이네..조금만더 힘내줘 수퍼쏜!..,졸린곰,3 weeks ago (edited),2
57,"와 이렇게 모아보니까 학창시절 군시절 대학시절 현재까지 시간 참 빠르네 옛날 경기보면서 그때 생각나기도 하고ㅋㅋㅋㅋ 개인적으로 17-18, 18-19 손흥민이 제일 그립긴 하다 저번시즌 득점왕은 이미 월클이였고 월클 반열에 오른다 만다 했던 시절 17~19 이때가 손흥민 스타일이나 플레이가 ㅈ간지였음",MiaSanMia,4 weeks ago,0
58,프리미어리그에서 골 모음이 1시간이라... 그저 레전드,미링구,1 month ago,2
59,"손흥민 선수 좋을때나 안좋을때나 늘 응원했습니다.
언제나 힘내시고 화이팅 입니다 ",이경주,5 days ago,1
60,좀만 보랬는데 끊을수가없어 다봐버린 우리 흥민 쏜 감사합니다 ,내모든것에감사합니다🙂😊,3 weeks ago,2
61,"자랑스러운 손흥민 선수!! 이 자리에 서기까지 얼마나 많은 노력을 해왔을지.. 매번 ""대단하다""라는 표현 밖에 할 수 없는 게 아쉬울 정도입니다.. 흥민 선수는 묵묵히 본인의 자리에서 해내는 선수니깐 부담감은 덜고 행복하게 축구하셨으면 좋겠어요. 부상 없이 시즌 잘 마무리하시도록 언제나 응원할게요",SH,1 month ago,75
62,"골보니 역습골이 상당히 많았네요. 대단한 대한민국 손흥민입니다. ,22~23시즌  부상도 있었고, 조금 부진했지만 현 토트넘 역습 전술이 없어져  피해보는 느낌인데,,문제가 있었으니 더 좋은데로 가서 승승장구 하시길~~빕니다. 응원합니다.",김진식,3 weeks ago,3
63,최근 경기만 보다보니까 잊고있었던 클래스가 보이네요... 어떤 힘든 시기여도 어떻게든 해낼 수 있을 느낌이 남.,오늘도내일도,1 month ago,3
64,최전방 돌파하고 골키퍼랑 1대1 상황에 거의 정면으로 차는데 뚫리는거면 킥력이 얼마나 센걸까 ㄷㄷㄷ,슈퍼인프피,1 month ago,1
65,진짜 ...많이 넣었다 손흥민 대단하다 빠르고 잘한다 너무 멋있어,리안조앤,1 month ago,1
66,실력과 인성을 모두 겸비한 너무나 훌륭한 선수지만 항상 부상을 조심하고 몸 관리를 철저하게 해서 롱런해야 된다. 늘 응원한다.,JH,1 month ago,2
67,우리나라에서 이런 선수가 나오다니 너무 자랑스럽다,월하화月下花,1 month ago,162
68,손흥민 선수가 늘 행복하길 빌어요,겨울,2 weeks ago,3
69,"차범근 감독님을 보지 못한 세대라 잘 모르겠고, 차범근 감독님 이후 한국에 이런 선수 없었음. 정말 대단하고 대단한 선수. EPL 득점왕의 위엄.",JM,12 days ago,0
70,진짜 멋있다 손흥민,김은영,2 days ago,2
71,누가 뭐라해도 손흥민은 월클이다ㅠㅠ,이레미,7 days ago,3
72,"초창기영상부터 보니까 명랑한 모습이랑 추억속의 베르통언 에릭센 알리 등등 뭐랄까 울컥하네 
마지막 영상들 보니까 그냥 해맑던 모습이 주마등처럼 스쳐가네 지금은 그냥 행복했으면 좋갰다",방스릭,1 month ago,2
73,와 진짜..함부르크 시절 부터 쭉 EPL 오기까지 쭉 봤는데 벌써 100호골 코 앞에 두고 있다니.. 흥민이형 시대에 있는 걸 감사해요,S,1 month ago,55
74,해리케인 침착하게 고개돌려서 동선 파악하는게 ㄷㄷ하네,꼬마드리드,1 month ago,1
75,Sonny의 골 넣는 장면으로만 1시간 볼 수 있다는 게 감동이네요.,ananimoose,4 days ago (edited),1
76,"1:04:44
득점왕 되니까 진짜 다같이 좋아하는거 봐라ㅠㅠㅠㅠㅠㅠㅠ",아이언맨,3 days ago,0
77,데스크 라인이 진짜 미쳤구나.. 그립다 저때가,윌라,1 month ago,1
78,"진짜 중원에서 패스 뿌려줄 수 있는 알리, 에릭센 같은 선수가 필요하다.",쌀국수,1 month ago (edited),4
79,"최근 부진해서 퇴물이다 뭐다 말하지만 지난 몇년간 보여준 퍼포먼스보면서 출근하면서도 힘나고 하루종일 기분좋고 흥민이형 얘기하면서 수다도 떨고. 
우리들한테 너무 큰 행복이고 기쁨이었다. 앞으로도 좋은 활약해서 좋은 마무리 했으면 좋겠다. 
진심으로 응원한다!",Null,1 month ago,61
80,손흥민 골 모음인 데에도 저 당시 에릭센이 얼마나 중요한 역할이었는지가 보이네...,elliot,1 month ago,1
81,"진짜 DESK라인이 살아있을 때는 공격력만큼은 어느팀 못지 않았다. 알리, 에릭센 그립네. 에릭센은 맨유에서도 제몫하고 있는데 알리가 안타깝다.",오늘,1 month ago,1
82,리그골 하이라이트만 1시간 넘는 그냥 미쳐버린 월클 손흥민,네이트,4 days ago,1
83,"진짜 골들이 다 멋지고 훌륭하네요.
역시 울 쏘니~~ 최고최고네요~^^
대단합니다~♡♡♡♡♡",양선희,4 weeks ago,10
84,자랑스러운 우리의 캡틴....매시즌 이악물고 뛴 우리의 캡틴이 우승컵 하나 들어서 행복해하고 월드컵 16강 진출하고 단체 사진 찍을때 처럼 해맑은 웃음을 보고싶다....,SEUNGSOO,2 weeks ago,0
85,"손흥민 선수는 뭐 칭찬하면 입만 아프지만 그래도 세계최고의 리그인 프리미어리그에서의 100호골을 눈앞에 두고 있다는건 엄청난 것 같습니다. 
수많은 고비에도 버텨온 손흥민 선수의 끈기와 열정에 박수를 보내드리고 싶네요
우리의 새벽을 즐겁게 해줘서 고마워요. 부상없이 100호골을 넘어봅시다!우리흥",햄찌,1 month ago,153
86,알리가 진짜 생각보다 많이 패스를 잘줬었네 친한줄만 알았는데 알리가 이렇게 많이 패스를 잘 줬었구나,리온브리엔느,1 month ago,1
87,멋있다 앞으로도 멋있는 모습 보여주길,주요이,3 weeks ago,1
88,손흥민의 데뷔골을 지켜본게 엇그제 같은데 벌써 이피엘에선 레전드네요 우승경력 말고는 다 이뤘다고 생각하는데 막바지에는 우승하는걸 보고 싶습니다 토트넘에선 어렵겠지요,KPOP지킴이,1 month ago,3
89,우리는 앞으로도 이런선수를 볼수 있을지도 모르는 그런 선수를 우리는 보고 있는 것인지도 모른다... 아버님 흥민이 월클 맞습니다 ^^,김정훈,3 weeks ago,1
90,다시는 오지않을 순간들이라 맘이아프다 ㅠ,Sw,1 month ago,0
91,"가슴이 웅장하다..어렵고 힘든일에도 절대 흔들리지않고 꾸준한 성실함으로 다져온 지난날들..빛이 나네요 오늘 쏘니의 99호, 100호골 기원합니다!!️‍️‍",푸르니아디짱,1 month ago (edited),94
92,1617 시즌에 치맥하며 보던 손흥민을 아직도 보고 있다니... 진심 레전드,광복,11 days ago,0
93,무리뉴가 손흥민을 잘 사용한게 라인만 봐도 보인다 포체티노 시절에 라인을 끌고 올라와서 골을 만드는 과정인데 에릭센 빠지고 답이 없었는데 손-케 역습으로 잘 풀은듯,링테스,1 month ago,1
94,"진짜 대단한 손흥민선수
항상 응원합니다",김은영,12 days ago,0
95,"47호골은
진짜.
다시 봐도
대단하다.
전성기가 저때인가 봅니다...
",하비스,4 weeks ago,0
96,"23:55 이 급박한 상황에서 잔발로 제치네 ㄷㄷ
이때 폼 참 좋았다....",OZ,3 weeks ago,0
97,솔직히 프리미어리그에서 이정도 해주는건 국민 입장에서 진짜 감사 해야한다. 이런 행복을 우리가 언제 또 누리겠어,상품권전달하는남자,1 month ago,82
98,"골이 우당탕하다가 맞고 들어가거나 골문앞에 있다가 정말 먹여주듯이 대준공 톡치기만 하면 들어가는골 이런게 거의없고 대부분 원더골이네 진짜 더 대단하다 번리골은 수백번봐도 안질리고
세레모니 변천사를 볼수있고 영상이 순삭이다",이쏭쏭,22 hours ago,1
99,"경륜 선수였었는데 안와골절로 후유증 1년이상 시달렸음 낙하하면서 드롭바 커브진 부분에 하중을 그대로받으면서 굴렀는데 달걀보다 작은면적에서 6조각이났음 붓기는 두어달 정도만에 괜찮졌지만 뛰거나 역동적으로 움직일때 미세하게 안구쪽 통증이 동반되었는데 그게 반년정도 지속되었음 신경쓰다보니 동작을 파워풀하게 가져가는 부분에서 나도모르게 소극적이게되고 어느순간 기록에서도 차이를 보이기 시작했음 이게 증명해야하는 운동선수들에겐 스트레스가 어마어마함 분명 손흥민은 아직도 후유증이 있을것임 속도와 역동성이 무기였던 선수라 더더욱 그럴것임 ,자기관리 철저한 선수라 에이징커브는 아직이라 믿고싶음 나는 그러지 못했지만 손흥민은 꼭 이겨내리라 믿음",Pradium,3 weeks ago,3
100,손흥민 Pl입성후 첫골을 본 그날은 잊지 못한다.,서기,1 month ago,1
101,골 하나하나가 다 기억나는건 나에겐 축구선수 그 이상의 존재…,김꿀꿀,1 month ago,1
102,"어시가 대부분 에릭센, 케인, 상대 실책밖에 없는 토트넘 스쿼드 폼 미쳤다",Korean,5 days ago,0
103,"축구에 관심없을 땐 국가대표 중 1명일 뿐이었는데 팬이 되고 이 선수에 대해 알아갈수록 정말 대단한 선수란 걸 실감함. 2골 1어시만 더하면 100골 50어시 달성하고, 분데스리가 포함하면 189골 86어시로 이미 대단한 기록을 세웠고 앞으로 세워나갈 선수임. 손흥민 선수의 앞날이 기대되고 항상 행복한 축구 하기를 응원함 ",야마도라,1 month ago,93
104,손흥민 골은 계속 봐도 질리지않음,서준,1 month ago,3
105,"감동그자체다
인생살면서 감동의눈물을 소니보고
느꼈다.대단하고 최고의인간",DAdaMI,2 weeks ago,0
106,"대한민국 🇰🇷 이런 선수 있는게 
진짜 자랑스럽다",손박손박,6 days ago (edited),0
107,손흥민 대단하다.. 그리고 케인..정말 대단한 선수..,JK,6 days ago,0
108,황홀함을 느낄 수 있어요! 손흥민 최고~,Hi,3 days ago,0
109,손흥민선수가 그동안 골을 많이 넣었기에 1시간 분량의 골만 넣는 영상이 만들어질수있었습니다. 이 영상으로 손흥민선수가 얼마나 대단한 선수인지 다시 한번 느낄수있었습니다,허준범,1 month ago,47
110,한시간 십분을 초 집중해서 봤네~더욱 흥해라 손흥민!!! 멋지골 더 많이 만들어 주길~~,더블케이,1 month ago,1
111," EPL 100호골 축하합니다 
앞으로도 더 멋진 골들을 볼수있도록 응원하겠습니다
️🇰🇷",goku,3 days ago (edited),0
112,"와... 너무 많은 골이라... 길어서 다 못보겠다..
진짜 자랑스럽네요 손흥민",정유애,3 weeks ago,0
113,이렇게 보니 모든 신체적 감각적일 젊을때 해리 케인과 함께 한 손흥민 선수네요 . 손흥민선수가 100호골 넣고 라커에서 해리케인 선수가 찐한 포옹해준게 너무나 프로답고 아름다운거 같습니다,제임스민,6 days ago,0
114,이정재 폼 미쳤다,Exponential,1 month ago,1
115,한팀에서 한명이 골넣은 것만 보는데 한시간이나 걸리다니 대단하다 !! ㅠㅠ 빛흥민 시대에 살아서 행복합니다,김도현,1 month ago,62
116,13:02 에릭센 패스봐 .. 와 .. 그렇게 아프고 했었는데도 아직까지 최고의 팀에서 뛰는 이유를 알겠네요 ..,[감전,1 month ago,0
117,노리치전 마지막 감아차기는 진짜 보면서도 안믿겼다 스스로 만들어내는 득점왕,dbdb,1 month ago,1
118,골하나하나 모두 감동이다,구우.,1 month ago,1
119,감아차기 진짜 쩐다..,맑은하늘,1 month ago,1
120,"와 진짜 원더골 제조기다ㅋㅋㅋ 하도 원더골이 많아서 웬만한 감차골은 원더골 소리도 못듣는ㅜㅜㅋㅋㅋㅋㅋ 
그리고 새삼 양발 밸런스도 완벽해....🥹
손흥민은 정말 축구할 때 너무 즐거워보여서 그냥 건강하게!!! 오래오래 행복축구했음 좋겠다! 
오늘 경기도 화이팅이고 pl 100골 넘 부담갖지말고 다치지만 마세요오🫶",은채,1 month ago,53
121,동시대 사는사람으로써 자랑스럽습니다,분뇨의,3 weeks ago,1
122,1:03:56 진짜 이부분은 볼때마다 소름이 돋는다 이 때 실시간으로 보는데 득점 단독 선두 라는게 안믿겨졌고 동료들한테 엎혀서 표효하는거 ㄹㅇ개간지,안녕,1 month ago,1
123,레전드다 진짜 골하나하나 시원하다,cftgd,3 weeks ago,1
124,"손흥민선수 
위대한 축구의 신입니다",성숙,2 weeks ago,1
125,뭐든지 욕심버리는 순간부터 잘 풀리더라 처음부터 다시 시작한다는 마음으로 하나씩 해나가보자 손흥민 화이팅!!!,녹동달오리골드,4 weeks ago,0
126,잘하긴 진짜 잘한다 자랑스럽다,아이리스,1 month ago,0
127,골 하이라이트만으로도 1시간이 넘다니 ㄷㄷ,김상현,1 day ago,1
128,와~골 하나하나가 예술이네..,Misojjang,6 days ago,1
129,"대단하다!
다른말이 없다",dulos,3 weeks ago,1
130,진짜 내 20대초반 손흥민덕에 행복했다…,강재훈,1 month ago,2
131,이영상을보면 에릭센이 얼마나 중요한자원인지 알수있다.. 토트넘은 저런 플레이메이커가 너무필요하다 델리알리 에릭센이 부진없이 토트넘에있었다면 DESK라인으로 진짜 우승가능했을텐데,표표,1 month ago,75
132,골 넣은 장면들 몰아보니 무리뉴때 흥민이 골이 시원하고 멋있고 제일 잘 쓴 거 같다,탈급,7 days ago,0
133,흥민선수 감사하고 사랑합니다♡♡♡♡,형정화,6 days ago,1
134,멋진 골들이여서. 골이 질리지가 않아.  또 보러 옴ㅋ,아파손목,5 days ago,1
135,"와 근데 손흥민 초창기 시절 토트넘 진짜 축구 잘하네 ㄷㄷㄷㄷ;
에릭센이랑 델레알리가 진짜 보물이었는데",로메로,7 days ago,0
136,"이게 참 대단한게 영상 초반에는 이미 한골을 넣은 상태에서 득점한게 많은데 갈수록 선제골이나 역전골이 많아짐 
골 순도 자체도 점점 높아진다는게대단하네",연필심,1 month ago,32
137,흥민이형 오래오래 건강히 선수생활 해줘~ 늘 응원합니다,성이름,6 hours ago,1
138,내가 본 선수중에 가장 완벽한 선수다,MC더민주,1 month ago,1
139,패널한번없이.... 진짜 졸라대단하다..,제주씹다수,4 days ago,1
140,"개인골에서 이렇게 원더골이 많은 선수가 몇명이나 있을까
혼자  안쪽까지 개인기량으로 넣은골들이 너무 많다
보고 있기가 찬란하네",김환성,4 days ago,3
